== Optimized simulation (option2) ==
1000 tasks, 70% IO / 30% CPU, 8 workers, cap 100%
DISPATCH kind=Cpu cpu_running=2 io_q=148 cpu_q=42 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=150 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=149 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=148 cpu_q=43 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=148 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=151 cpu_q=44 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=155 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=154 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=153 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=153 cpu_q=43 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=157 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=160 cpu_q=43 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=160 cpu_q=42 cpu%=90 busy=4
DISPATCH kind=Io cpu_running=2 io_q=159 cpu_q=42 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=158 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=160 cpu_q=44 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=164 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=163 cpu_q=44 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=163 cpu_q=43 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=162 cpu_q=44 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=164 cpu_q=45 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=166 cpu_q=46 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=166 cpu_q=46 cpu%=100 busy=5
