elapsed_ms,cpu_pct,workers_active,queue_len
16206,100,5,397
16216,100,5,398
16226,100,5,397
16236,100,5,398
16247,100,5,398
16257,100,5,399
16267,100,5,399
16277,100,5,400
16288,100,5,400
16298,100,5,400
16308,75,5,398
16318,75,5,399
16329,75,5,399
16339,75,5,400
16349,100,5,399
16361,100,5,400
16371,100,5,400
16382,100,5,401
16394,100,5,401
16406,100,5,402
16416,100,5,403
16427,100,5,402
16437,100,5,403
16447,100,5,403
16457,100,5,404
16468,100,5,404
16479,100,5,405
16489,100,5,405
16499,100,5,405
16509,100,5,403
16519,100,5,404
16530,100,5,404
16540,100,5,405
16550,75,5,404
16560,75,5,405
16570,75,5,405
16580,75,5,406
16590,75,5,406
16601,75,5,407
16611,75,5,407
16621,75,5,408
16631,100,5,407
16641,100,5,408
16651,100,5,408
16662,100,5,409
16672,100,5,409
16682,100,5,410
16692,100,5,410
16703,100,5,410
16713,100,5,408
16723,100,5,409
16733,100,5,409
16743,100,5,410
16753,100,5,409
16763,100,5,410
16774,100,5,410
16784,100,5,411
16794,100,5,411
16804,100,5,412
16814,100,5,412
16824,75,5,412
16835,75,5,412
16845,75,5,413
16855,75,5,413
16865,75,5,414
16875,75,5,414
16886,75,5,415
16896,75,5,415
16906,100,5,415
16916,100,5,413
16927,100,5,414
16937,100,5,414
16947,100,5,414
16957,100,5,415
16967,100,5,415
16978,100,5,416
16988,100,5,416
16998,100,5,417
17008,100,5,417
17018,100,5,418
17028,100,5,417
17039,100,5,418
17049,100,5,418
17059,100,5,419
17069,100,5,419
17080,100,5,420
17090,100,5,420
17100,75,5,420
17110,100,5,418
17120,100,5,419
17131,100,5,419
17141,100,5,420
17151,100,5,419
17161,100,5,420
17171,100,5,420
17181,100,5,421
17192,100,5,421
17202,100,5,422
17212,100,5,422
17222,100,5,423
17232,100,5,422
17242,100,5,423
17252,100,5,423
17263,100,5,424
17273,100,5,424
17283,100,5,425
17293,100,5,425
17303,100,5,425
17313,75,5,423
17323,75,5,424
17334,75,5,424
17344,75,5,425
17354,100,5,424
17364,100,5,425
17374,100,5,425
17384,100,5,426
17394,100,5,426
17405,100,5,427
17415,100,5,427
17425,100,5,427
17435,100,5,427
17445,100,5,428
17455,100,5,428
17466,100,5,429
17476,100,5,429
17486,100,5,430
17496,100,5,430
17507,100,5,430
17517,100,5,428
17527,100,5,429
17537,100,5,429
17547,75,5,429
17557,75,5,429
17568,75,5,430
17578,75,5,430
17588,75,5,431
17598,75,5,431
17608,75,5,432
17619,75,5,432
17629,100,5,432
17639,100,5,432
17649,100,5,433
17659,100,5,433
17670,100,5,434
17680,100,5,434
17690,100,5,435
17700,100,5,434
17710,100,5,433
17721,100,5,434
17731,100,5,434
17741,100,5,435
17751,100,5,434
17761,100,5,435
17771,100,5,435
17782,100,5,436
17792,100,5,436
17802,100,5,437
17812,100,5,437
17822,100,5,438
17832,75,5,437
17843,75,5,438
17853,75,5,438
17863,75,5,439
17873,75,5,439
17883,75,5,440
17894,75,5,440
17904,100,5,440
17914,100,5,438
17924,100,5,439
17934,100,5,439
17944,100,5,440
17955,100,5,439
17965,100,5,440
17975,100,5,440
17985,100,5,441
17995,100,5,441
18006,100,5,442
18016,100,5,442
18026,100,5,442
18036,100,5,442
18049,100,5,443
18060,100,5,443
18070,100,5,444
18080,100,5,444
18091,100,5,445
18101,75,5,444
18111,100,5,443
18122,100,5,443
18132,100,5,444
18142,100,5,444
18152,100,5,444
18162,100,5,444
18172,100,5,445
18183,100,5,445
18193,100,5,446
18203,100,5,446
18213,100,5,447
18223,100,5,447
18234,100,5,447
18244,100,5,447
18254,100,5,448
18264,100,5,448
18274,100,5,449
18284,100,5,449
18295,100,5,450
18305,100,5,449
18315,75,5,448
18325,75,5,448
18335,75,5,449
18346,75,5,449
18356,100,5,449
18366,100,5,449
18376,100,5,450
18387,100,5,450
18397,100,5,451
18407,100,5,451
18417,100,5,452
18428,100,5,452
18438,100,5,452
18452,100,5,453
18462,100,5,453
18472,100,5,454
18482,100,5,454
18494,100,5,455
18505,100,5,454
18517,100,5,453
18527,100,5,453
18537,100,5,454
18548,75,5,453
18558,75,5,454
18568,75,5,454
18578,75,5,455
18590,75,5,455
18600,75,5,456
18610,75,5,457
18621,75,5,457
18631,100,5,456
18641,100,5,457
18651,100,5,457
18661,100,5,458
18671,100,5,459
18682,100,5,459
18692,100,5,460
18702,100,5,459
18712,100,5,460
18722,100,5,458
18732,100,5,459
18743,100,5,459
18753,100,5,459
18763,100,5,459
18773,100,5,460
18784,100,5,460
18794,100,5,461
18804,100,5,461
18815,100,5,462
18825,100,5,462
18835,75,5,462
18845,75,5,462
18855,75,5,463
18865,75,5,463
18875,75,5,464
18886,75,5,464
18896,75,5,465
18906,100,5,464
18916,100,5,465
18926,100,5,463
18936,100,5,464
18946,100,5,464
18957,100,5,464
18967,100,5,464
18977,100,5,465
18987,100,5,465
18997,100,5,466
19008,100,5,466
19019,100,5,467
19029,100,5,466
19039,100,5,467
19049,100,5,467
19059,100,5,468
19070,100,5,468
19080,100,5,469
19090,100,5,469
19100,75,5,469
19110,75,5,469
19120,100,5,468
19131,100,5,468
19141,100,5,469
19151,100,5,468
19161,100,5,469
19173,100,5,469
19184,100,5,470
19194,100,5,470
19204,100,5,471
19214,100,5,472
19224,100,5,472
19235,100,5,472
19245,100,5,472
19255,100,5,473
19265,100,5,473
19275,100,5,474
19285,100,5,474
19296,100,5,475
19306,100,5,474
19316,100,5,475
19326,75,5,473
19336,75,5,474
19346,75,5,474
19357,100,5,474
19367,100,5,474
19377,100,5,475
19387,100,5,475
19397,100,5,476
19407,100,5,476
19417,100,5,477
19428,100,5,476
19438,100,5,477
19448,100,5,477
19458,100,5,478
19468,100,5,478
19478,100,5,479
19489,100,5,479
19499,100,5,479
19509,100,5,479
19519,100,5,478
19529,100,5,478
19539,100,5,479
19549,75,5,478
19560,75,5,479
19570,75,5,479
19580,75,5,480
19590,75,5,480
19600,75,5,481
19610,75,5,481
19621,75,5,482
19631,100,5,481
19641,100,5,482
19651,100,5,482
19661,100,5,483
19671,100,5,483
19682,100,5,484
19692,100,5,484
19702,100,5,484
19712,100,5,484
19722,100,5,483
19732,100,5,483
19742,100,5,484
19753,100,5,483
19763,100,5,484
19773,100,5,484
